,price,product_weight_g,dist,order_delivered_customer_day,seller_id_mean,seller_city_mean,customer_city_mean,cluster
95391,66.9,650.0,36.858444823169584,2,5.054347826086956,5.526881720430108,3.859154929577465,0.0
99214,215.0,4650.0,339.2438244447343,6,6.608108108108108,5.20036210018105,8.893838158871567,1.0
41955,49.9,1500.0,347.02529421572405,3,8.075601374570446,8.164498531263114,5.698630136986301,0.0
63132,105.0,1000.0,2444.6448760117446,15,7.125,6.593373493975903,12.859154929577464,2.0
10036,144.99,975.0,43.06701669928161,7,6.062874251497006,5.20036210018105,3.859154929577465,1.0
39439,17.9,200.0,2363.9661025690507,8,4.780952380952381,5.20036210018105,12.578947368421051,1.0
60952,99.99,1200.0,349.7350701706548,10,6.062874251497006,5.20036210018105,8.893838158871567,2.0
85400,59.99,1000.0,2364.464892010408,13,6.062874251497006,5.20036210018105,12.578947368421051,2.0
2949,33.0,575.0,24.07316933599512,0,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
85779,85.0,3100.0,18.468129837686657,4,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
62771,49.0,250.0,23.04648283608323,2,5.247990815154994,5.20036210018105,4.188768009408998,0.0
67491,29.0,200.0,369.0666738369789,8,5.247990815154994,5.20036210018105,8.893838158871567,1.0
98207,200.0,9750.0,29.84471410842725,0,4.5978260869565215,5.20036210018105,3.836734693877551,0.0
102986,205.0,3300.0,18.19609231459121,0,4.5978260869565215,5.20036210018105,4.188768009408998,0.0
84024,250.0,12250.0,900.9301560215308,14,4.796052631578948,5.20036210018105,10.283333333333331,2.0
28787,56.99,1250.0,325.57882095999344,1,8.13469387755102,8.164498531263114,4.17948717948718,0.0
28518,42.0,317.0,15.36184368842989,1,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
59134,269.0,400.0,338.8815467421657,8,4.114583333333333,5.20036210018105,6.367977528089888,1.0
74534,159.77,450.0,474.5650366353571,11,5.575342465753424,5.526881720430108,7.906666666666666,2.0
14225,122.99,400.0,20.627683936129657,6,5.575342465753424,5.526881720430108,4.188768009408998,1.0
62237,49.9,1750.0,647.3964672561153,15,8.292792792792794,8.292792792792794,8.893838158871567,2.0
102356,18.9,100.0,899.1899069340012,19,8.570652173913043,8.041666666666666,8.623376623376624,3.0
75885,140.9,250.0,550.6729817374184,5,8.470588235294118,8.041666666666666,3.944881889763779,1.0
13606,55.0,250.0,40.78835201529476,0,5.247990815154994,5.20036210018105,3.944881889763779,0.0
52420,59.0,250.0,54.45736272928213,2,5.247990815154994,5.20036210018105,5.698630136986301,0.0
34210,249.0,7850.0,328.1631755478449,10,6.775510204081633,7.735135135135135,4.256410256410256,2.0
39933,69.0,300.0,452.3588350681907,8,5.247990815154994,5.20036210018105,7.906666666666666,1.0
32147,69.0,1100.0,947.9128650236116,17,8.13469387755102,8.164498531263114,10.385906040268456,3.0
83736,228.0,12000.0,494.9974062616418,4,4.796052631578948,5.20036210018105,7.949838187702265,0.0
10922,79.9,2200.0,2463.7383685111745,14,4.780952380952381,5.20036210018105,12.859154929577464,2.0
28240,29.0,500.0,16.46962174744436,3,5.0395189003436425,5.20036210018105,3.889908256880734,0.0
37548,46.9,300.0,1085.2561549489476,13,6.209302325581396,7.735135135135135,10.873239436619718,2.0
81889,108.0,1000.0,22.30312340840028,4,7.125,6.593373493975903,8.893838158871567,0.0
15519,64.9,1300.0,22.25833004627142,1,5.205128205128205,5.063977746870654,3.774509803921569,0.0
40971,16.0,200.0,465.14862501127305,15,4.1875,5.20036210018105,11.12,2.0
206,9.99,245.0,746.5268307811291,9,4.1875,5.20036210018105,10.873239436619718,1.0
42855,148.0,1450.0,351.34169768696967,5,9.76923076923077,7.735135135135135,6.913793103448276,1.0
95128,99.9,584.0,506.7313085694177,16,8.12719298245614,8.26126126126126,6.367977528089888,3.0
54862,1119.9,30000.0,306.65139395724907,11,6.3426573426573425,5.20036210018105,8.893838158871567,2.0
69924,99.9,2500.0,347.4530603634488,3,6.775510204081633,7.735135135135135,4.163043478260869,0.0
